,name,city,province
0,Best Western Plus South Coast Inn,Goleta,CA
1,Best Western Carmel's Town House Lodge,Carmel by the Sea,CA
5,21c Museum Hotel Lexington,Lexington,KY
7,Springs Motel LLC,Russell Springs,KY
8,Microtel Inn Suites By Wyndham Lexington,Lexington,KY
9,American Inn,Hopkinsville,KY
10,Hampton Inn Lexington Medical Center,Lexington,KY
11,Motel 6 Santa Barbara - Carpinteria North,Carpinteria,CA
12,Comfort Inn,Redwood City,CA
13,The Whitney Hotel,New Orleans,LA
61,Estes Park Condos,Estes Park,CO
64,Blue Mountain Inn Suites,Rangely,CO
65,Hampton Inn-longmont,Longmont,CO
66,Drury Inn Suites Colorado Springs Near The Air Force Academy,Colorado Springs,CO
85,Saddle Surrey Motel,Estes Park,CO
87,Hampton Inn-macomb,Macomb,IL
89,Pavilion Inn,San Jose,CA
90,Corporate Inn Sunnyvale,Sunnyvale,CA
91,"Marriott Vacation Club Pulse, San Diego",San Diego,CA
105,Four Points by Sheraton San Diego - SeaWorld,San Diego,CA
117,Hampton Inn San Diego/Mission Valley,San Diego,CA
152,Courtyard by Marriott San Diego Old Town,San Diego,CA
163,Omni San Diego Hotel,San Diego,CA
165,Best Western Seven Seas,San Diego,CA
297,Quality Suites San Diego SeaWorld Area,San Diego,CA
351,Drury Inn Suites Terre Haute,Terre Haute,IN
352,Hampton Inn Suites Mishawaka/south Bend At Heritage Square,Granger,IN
355,Shadeland Inn,Indianapolis,IN
358,Economy Inn,Fort Wayne,IN
359,Hotel Abri,San Francisco,CA
459,The St. Regis San Francisco,San Francisco,CA
504,The Herbert Hotel,San Francisco,CA
505,Hotel Vertigo,San Francisco,CA
535,Quality Inn-palm Bay,Palm Bay,FL
536,Hilton Los Angeles/Universal City,Universal City,CA
537,Best Western Plus Edgewater Hotel,Seward,AK
539,West Bank Inn,Augusta,GA
541,Motel 6-opelika,Opelika,AL
542,Bluewater Resort Casino,Parker,AZ
544,Econo Lodge,Jonesboro,AR
546,Red Bud Valley Resort,Eureka Springs,AR
547,Sleep Inn Suites-van Buren,Van Buren,AR
548,City Center Motel,Anchorage,AK
549,The Ocean Lodge,Cannon Beach,OR
568,Buchan's Landing Resort,Englewood,FL
570,Hampton Inn Plant City,Plant City,FL
571,Super 8-Los Angeles Downtown,Los Angeles,CA
572,W Seattle,Seattle,WA
601,Grand Hyatt Seattle,Seattle,WA
736,Comfort Inn & Suites Seattle,Seattle,WA
738,Courtyard Seattle Federal Way,Federal Way,WA
739,Residence Inn Provo,Provo,UT
741,Champions Lodge,Houston,TX
742,Hampton Inn & Suites El Paso-Airport,El Paso,TX
743,Days Inn Nashville North Opryland / Grand Ole Opry Area,Nashville,TN
747,Best Western Twin Islands,Gatlinburg,TN
750,Hampton Inn Suites Greenville Downtown River Place,Greenville,SC
752,Wyndham Philadelphia-Historic District,Philadelphia,PA
755,Best Western Lakewood Inn,Hebron,OH
756,Hampton Inn Suites Fremont,Fremont,OH
760,Hilton Garden Inn Columbus Dublin,Dublin,OH
763,Best Western Clermont,Cincinnati,OH
766,Quality Inn,Carlisle,PA
772,Motel 6 Redmond,Redmond,OR
773,Daisy Motel,Kirby,AR
